date,records_count,payload_timestamp,payload_category,payload_dataset,payload_status,payload_metrics_sea_surface_temp_k,payload_metrics_wind_speed_ms,payload_metrics_atmospheric_pressure_hpa,payload_metrics_cyclone_present
"2024-02-01","1","2024-02-01T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.9322825586728","20.124015551403303","1000.1372046708007","true"
"2024-02-02","1","2024-02-02T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.43134897101237","15.712337810917468","1005.7330192495378","false"
"2024-02-03","1","2024-02-03T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.57776977799864","20.636887686315703","1005.3444048350075","false"
"2024-02-04","1","2024-02-04T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.3065462404165","16.86251152890869","1006.2694637154611","true"
"2024-02-05","1","2024-02-05T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.13959358412006","17.119496833528785","1005.8800246404846","false"
"2024-02-06","1","2024-02-06T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","297.97053169809493","12.925362897324977","991.810630562762","false"
"2024-02-07","1","2024-02-07T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.19428882291294","17.78217003483187","993.4650809350851","false"
"2024-02-08","1","2024-02-08T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.65342932168716","18.604239491826178","988.5901722952132","false"
"2024-02-09","1","2024-02-09T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","297.95930771088786","13.907920513862484","990.0864256059903","true"
"2024-02-10","1","2024-02-10T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","297.6094048009401","21.673889415868366","997.9511665469796","false"
"2024-02-11","1","2024-02-11T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.43422219160783","19.832520274413255","1002.8201432425266","false"
"2024-02-12","1","2024-02-12T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.4073816876143","13.844449698538442","989.9044820351719","false"
"2024-02-13","1","2024-02-13T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.5307417300118","21.04411301823493","1002.0026178549714","false"
"2024-02-14","1","2024-02-14T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.8457248023228","22.335988479744884","995.5676540087345","false"
"2024-02-15","1","2024-02-15T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.0365917119745","21.003103819113342","1001.1734651235612","false"
"2024-02-16","1","2024-02-16T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.4065612981013","22.285780397015373","1007.6308658778099","false"
"2024-02-17","1","2024-02-17T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","297.9863236906343","18.834426894541945","993.8413853911635","false"
"2024-02-18","1","2024-02-18T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","296.83100803739944","20.750832801569317","990.8730702259143","false"
"2024-02-19","1","2024-02-19T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.0008934250354","14.835203982900769","991.8514768738719","false"
"2024-02-20","1","2024-02-20T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","296.6848665481698","22.388419852982786","1006.6798979560087","false"
"2024-02-21","1","2024-02-21T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","297.0016687918922","18.335986869164618","989.4490285093847","false"
"2024-02-22","1","2024-02-22T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.34875610313543","19.903209329497315","1005.2445511342381","false"
"2024-02-23","1","2024-02-23T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.01328923355544","17.83556928774035","994.1598755077586","false"
"2024-02-24","1","2024-02-24T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","296.8254331680043","15.213425399702366","995.4049594273226","false"
"2024-02-25","1","2024-02-25T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","299.4281426917959","13.29188541842595","1007.2179085148827","false"
"2024-02-26","1","2024-02-26T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.4001480840908","17.71836896799539","995.6211631014279","false"
"2024-02-27","1","2024-02-27T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.11614079818384","19.956338982010422","994.8293641044612","false"
"2024-02-28","1","2024-02-28T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.2790107843309","18.36220193726838","996.361354997828","false"
"2024-02-29","1","2024-02-29T12:00:00Z","ocean","wind_vectors","ARCHIVED_VALIDATED","298.1314518502597","16.377669980732794","1005.2082561997672","false"
